user_list,event_labled,event_referenced,event_mentioned,event_closed,event_event_assignee,event_event_assigner,event_review_requester,event_requested_reviewer
HunderlineK,0,0,0,0,0,0,0,0
HungWoeiNeoh,1,0,0,1,0,0,0,0
IAM-P-LP,0,0,2,0,0,0,0,0
ILikeNNs,1,0,2,0,0,0,0,0
IanSMoyes,3,0,5,0,0,0,0,0
IchiruTake,1,0,1,0,0,0,0,0
Iskers,0,0,1,1,0,0,0,0
ItsMeTheBee,1,0,1,0,0,0,0,0
JCL823,1,0,3,0,0,0,0,0
JF-D,1,0,1,1,0,0,0,0
JJKK1313,2,0,7,0,0,0,0,0
JRice15,1,0,1,1,0,0,0,0
JVpltr,1,0,0,1,0,0,0,0
JW1992,0,0,2,1,0,0,0,0
JWenBin,1,0,2,0,0,0,0,0
JacdDev,1,0,2,1,0,0,0,0
JackCaoG,0,0,1,0,0,0,0,0
JackRyan4444,1,0,1,0,0,0,0,0
JafarMansouri,1,0,2,1,0,0,0,0
Jahnvi13,0,0,1,0,0,0,0,0
JakubBialy,0,1,0,0,0,0,0,0
JasonKramer525,1,0,1,0,0,0,0,0
JawadAr,1,0,3,1,0,0,0,0
Jeet1994,1,0,3,0,0,0,0,0
Jeffin21,1,0,7,0,0,0,0,0
JeffreyWardman,1,0,5,0,0,0,0,0
JerryShih,0,0,5,3,0,0,0,0
JesseLT,1,0,2,0,0,0,0,0
Jianbing-D,1,0,0,0,0,0,0,0
JiashuGuo,1,0,0,0,0,0,0,0
JimHeo,0,0,0,0,0,0,0,0
Jimut123,1,0,0,1,0,0,0,0
Joe23232,0,0,3,0,0,0,0,0
JohannSchumann,1,0,4,0,0,0,0,0
JohnG0024,1,0,2,1,0,0,0,0
Johnny-liqiang,1,0,2,1,0,0,0,0
Joocheol,1,0,2,1,0,0,0,0
JosBecker,0,0,1,0,0,0,0,0
JoseConi,1,0,1,0,0,0,0,0
JulieYao0754,0,0,1,1,0,0,0,0
