event_id,event_type,user_login,event_content,created_at
56857459,setting_project,xu_anyue,将关联仓库设置为MindSpore/mindspore,2021-10-09T14:10:33+08:00
56857458,setting_assignee,xu_anyue,将负责人设置为徐安越,2021-10-09T14:10:33+08:00
56857457,create,xu_anyue,创建了Empty-Template,2021-10-09T14:10:33+08:00
57864078,change_assignee,jonyguo,将负责人从 guozhijian 修改为chengxiaoli,2021-10-20T09:29:50+08:00
57864077,assign_collaborator,jonyguo,添加协作者guozhijian,2021-10-20T09:29:50+08:00
55295279,add_label,I-am-a-robot,"添加了      
        &nbsp;
        good-first-issue
      
标签",2021-09-17T18:51:34+08:00
55295278,add_label,I-am-a-robot,"添加了      
        &nbsp;
        sig/data
      
标签",2021-09-17T18:51:34+08:00
55295277,add_label,I-am-a-robot,"添加了      
        &nbsp;
        comp/data
      
标签",2021-09-17T18:51:34+08:00
55295276,setting_assignee,I-am-a-robot,将负责人设置为guozhijian,2021-09-17T18:51:34+08:00
55295264,add_label,I-am-a-robot,"添加了      
        &nbsp;
        kind/bug
      
标签",2021-09-17T18:51:25+08:00
55295263,setting_project,zabii,将关联仓库设置为MindSpore/mindspore,2021-09-17T18:51:23+08:00
55295262,create,zabii,创建了Bug-Report,2021-09-17T18:51:23+08:00
58135519,change_description,shen_jingxing,修改了描述,2021-10-22T14:11:05+08:00
57724824,change_assignee,david-he91,将负责人从 hedongdong 修改为傅嘉俊,2021-10-18T22:24:58+08:00
57724823,assign_collaborator,david-he91,添加协作者hedongdong,2021-10-18T22:24:58+08:00
57724677,change_milestone,david-he91,将里程碑从 算子众智-未分发 修改为算子众智-浙大-周磊晶,2021-10-18T22:22:25+08:00
57427987,change_deadline,david-he91,将计划截止日期从 2021-12-31 修改为2021-12-15,2021-10-14T22:37:10+08:00
57427986,change_plan_started_at,david-he91,将计划开始日期从 2021-09-01 修改为2021-10-14,2021-10-14T22:37:10+08:00
57093855,remove_label,david-he91,"移除了      
        &nbsp;
        mindspore-assistant
      
标签",2021-10-12T10:51:39+08:00
56661940,change_title,david-he91,修改了标题,2021-10-06T15:22:55+08:00
56661174,change_title,david-he91,修改了标题,2021-10-06T15:11:56+08:00
56660702,change_title,david-he91,修改了标题,2021-10-06T15:03:27+08:00
54371034,add_label,david-he91,"添加了      
        &nbsp;
        mindspore-assistant
      
标签",2021-09-08T20:32:19+08:00
54126692,setting_project,david-he91,将关联仓库设置为MindSpore/mindspore,2021-09-06T20:02:11+08:00
53975006,add_label,david-he91,"添加了      
        &nbsp;
        comp/operator
      
标签",2021-09-04T17:24:45+08:00
58136687,change_description,shen_jingxing,修改了描述,2021-10-22T14:20:31+08:00
58136462,change_description,shen_jingxing,修改了描述,2021-10-22T14:18:59+08:00
57725517,change_assignee,david-he91,将负责人从 hedongdong 修改为Wangsong95,2021-10-18T22:37:27+08:00
57725516,assign_collaborator,david-he91,添加协作者hedongdong,2021-10-18T22:37:27+08:00
57724679,change_milestone,david-he91,将里程碑从 算子众智-未分发 修改为算子众智-浙大-周磊晶,2021-10-18T22:22:26+08:00
57428142,change_deadline,david-he91,将计划截止日期从 2021-12-31 修改为2021-12-15,2021-10-14T22:37:41+08:00
57428141,change_plan_started_at,david-he91,将计划开始日期从 2021-09-01 修改为2021-10-14,2021-10-14T22:37:41+08:00
57094102,remove_label,david-he91,"移除了      
        &nbsp;
        mindspore-assistant
      
标签",2021-10-12T10:52:32+08:00
56663128,add_label,david-he91,"添加了      
        &nbsp;
        mindspore-assistant
      
标签",2021-10-06T15:57:32+08:00
56662582,setting_project,david-he91,将关联仓库设置为MindSpore/mindspore,2021-10-06T15:39:53+08:00
56662479,add_label,david-he91,"添加了      
        &nbsp;
        comp/operator
      
标签",2021-10-06T15:37:23+08:00
58054245,change_issue_state,luopenghui,changed issue state from VALIDATION to DONE,2021-10-21T16:04:39+08:00
57796843,change_milestone,changzherui,changed milestone from B-DOC to B-SolutionTest,2021-10-19T15:17:09+08:00
57795380,change_milestone,changzherui,changed milestone from B-SIG-FrontEnd to B-DOC,2021-10-19T15:09:42+08:00
57795352,change_assignee,changzherui,changed assignee from changzherui to luopenghui,2021-10-19T15:09:30+08:00
57795351,assign_collaborator,changzherui,assigned collaborator changzherui,2021-10-19T15:09:30+08:00
57794761,change_issue_state,changzherui,changed issue state from ACCEPTED to VALIDATION,2021-10-19T15:07:16+08:00
57794645,change_deadline,changzherui,changed deadline from 2021-12-31 to 2021-10-19,2021-10-19T15:06:55+08:00
57428462,link_pull_request,changzherui,related pull requestMindSpore/mindspore Pull Request !24924,2021-10-14T22:41:29+08:00
57428455,change_issue_state,changzherui,changed issue state from TODO to ACCEPTED,2021-10-14T22:41:02+08:00
56557290,add_label,luopenghui,"added       
        &nbsp;
        func/train
      
 label",2021-09-30T16:20:54+08:00
56557289,add_label,luopenghui,"added       
        &nbsp;
        stage/coding
      
 label",2021-09-30T16:20:54+08:00
56557288,add_label,luopenghui,"added       
        &nbsp;
        attr/ease-of-use
      
 label",2021-09-30T16:20:54+08:00
56557285,add_label,luopenghui,"added       
        &nbsp;
        usability
      
 label",2021-09-30T16:20:54+08:00
56557284,add_label,luopenghui,"added       
        &nbsp;
        kind/doc
      
 label",2021-09-30T16:20:54+08:00
56557283,add_label,luopenghui,"added       
        &nbsp;
        kind/bug
      
 label",2021-09-30T16:20:54+08:00
56557282,setting_priority,luopenghui,set priority to Secondary,2021-09-30T16:20:54+08:00
56557281,setting_milestone,luopenghui,set milestone to B-SIG-FrontEnd,2021-09-30T16:20:54+08:00
56557280,setting_deadline,luopenghui,set deadline to 2021-12-31,2021-09-30T16:20:54+08:00
