user_login,event_create,event_comment,event_assign_collaborator,event_setting_assignee,event_closed_issue,Score
modelzoo-ci-bot,0,0,3,0,0,0.5784306508161705
moran3,1,0,0,0,1,0.4472382307621679
mr-melos,0,6,0,0,0,0.7961260935881266
ms_yan,31,372,73,26,17,79.99713401368577
mu_rong_meng,24,10,4,23,18,16.682729068130968
mudongrui,3,4,2,2,1,2.2538885381733773
nicholas_yhr,1,14,1,1,0,2.495577340881858
nizzan,0,0,0,0,0,0.0
noth1n9,2,0,0,0,0,0.4357514044061696
oacjiewen,0,18,67,1,0,15.533926685693261
oida,0,0,0,0,0,0.0
onexiaophai,0,0,0,0,0,0.0
ouwenchang,3,14,2,0,2,3.3556001493104954
ouyang_xx,1,0,0,0,0,0.2178757022030848
pandoublefeng,0,4,0,0,0,0.5307507290587511
peacepeace,1,14,0,0,0,2.075503253908714
peixu_ren,0,0,1,0,0,0.1928102169387235
piyun,0,2,0,0,0,0.26537536452937555
pkuliuliu,0,2,0,0,0,0.26537536452937555
probiotics_53,8,12,3,0,8,5.748588684089771
puxiaonian,1,0,0,0,0,0.2178757022030848
qiangqiang55,0,0,0,0,0,0.0
qili93,2,0,0,0,0,0.4357514044061696
qingfengli,0,0,2,0,0,0.385620433877447
qingguoqincheng2021,1,0,0,0,0,0.2178757022030848
qq1280190261,0,0,0,0,0,0.0
qujianwei,1,6,0,1,0,1.2412656658256322
rainfor,0,4,0,0,1,0.7601132576178341
rainyhorse,2,0,4,3,0,1.888783882264326
randy-wangx,0,0,0,0,0,0.0
sabrinasun_59ee,0,0,0,0,0,0.0
sanjaychan,0,2,0,0,0,0.26537536452937555
sdau20171754,2,22,0,0,0,3.3548804142293
sduzjp,5,14,0,0,0,2.9470060627210524
shen_jingxing,0,0,0,0,0,0.0
shenming23,2,12,0,0,0,2.0280035915824235
shenwei41,2,14,10,0,1,4.450843654058117
shgao,0,2,0,0,0,0.26537536452937555
shibeiji,0,4,0,0,0,0.5307507290587511
shiqiuling,1,2,0,0,0,0.4832510667324603
shirleyzhang086,7,20,8,5,3,7.545772232074496
shumingMiao,1,0,0,0,0,0.2178757022030848
si_chasing,0,4,3,0,0,1.1091813798749215
simson_wu,1,36,4,3,0,6.447664741590004
sishuikang,2,6,4,0,2,2.461843422867356
stsuteng,6,0,0,6,0,2.6708374334250333
stylehang,0,0,25,0,0,4.8202554234680886
sunhz0117,0,2,0,0,0,0.26537536452937555
sunsuodong,0,4,1,0,0,0.7235609459974746
sxqxdjl,11,4,3,11,1,6.235079203046567
tacyi139,0,10,5,1,0,2.518191777374916
tang-yibo,2,28,0,0,0,4.151006507817426
tao-qing1,3,4,1,3,2,2.517704719828157
taox_p,0,2,0,0,3,0.9534629502066247
three_four,1,0,0,1,0,0.44513957223750555
thyush,0,2,0,0,0,0.26537536452937555
tiancixiao,3,8,9,2,4,4.822398371480444
tianqinjing,3,6,3,3,3,3.3980630467940625
tina_mengting_zhang,0,0,0,0,0,0.0
tomzwang11,0,0,0,0,1,0.2293625285590831
tophand,0,0,0,0,0,0.0
tronzhang,2,12,0,2,1,2.7118938602103473
ttudu,1,2,1,0,0,0.6760612836711838
uccInf,0,0,0,0,0,0.0
uestc_dengjian_0,5,0,0,0,0,1.089378511015424
uiemUI,1,0,0,0,0,0.2178757022030848
vddong,0,0,0,0,0,0.0
wajiang,0,2,0,0,0,0.26537536452937555
wang-weihangwk,2,8,0,0,0,1.497252862523672
wang-xinuo886131,0,0,0,0,2,0.4587250571181662
wang-yujie2,0,0,0,0,0,0.0
wang_hua_2019,0,2,1,1,0,0.6854494515025198
wang_shaocong,4,20,16,1,4,7.75493390939643
wangbixing123,0,0,2,0,0,0.385620433877447
wangjunbao,0,4,1,0,0,0.7235609459974746
wangnan39,8,50,16,9,2,13.966453089306611
wangshuide2020,0,16,12,0,0,4.436725519499686
wangshushu0213,0,0,0,0,0,0.0
wangsong95,0,0,56,0,1,11.026734677127589
wangyanling10,1,8,9,1,0,3.2419329828035184
wangyue01,0,0,1,0,0,0.1928102169387235
wangzheng1215,1,0,0,0,0,0.2178757022030848
wanyiming,0,2,1,0,0,0.45818558146809907
weisun092,1,0,0,0,1,0.4472382307621679
weixiewen,1,0,0,0,0,0.2178757022030848
wenkai_dist,0,10,2,0,0,1.712497256524325
whitewings,0,0,0,0,0,0.0
whuhuangj,0,2,0,0,0,0.26537536452937555
whutwangchao,0,0,0,0,0,0.0
wild-fox,0,26,0,0,0,3.449879738881881
wilfchen,1,6,6,0,1,2.4002256259826353
windaway,2,4,0,0,0,0.9665021334649206
windhxs,0,0,0,0,0,0.0
winnuix,2,8,0,0,0,1.497252862523672
wmzheng2020,27,184,20,16,21,42.606216855251816
woshixiaoli,2,0,0,2,0,0.8902791444750111
wow_ha_ha_ha,3,10,1,3,3,3.543193341975366
wr1024,0,0,0,0,0,0.0
wsyadc,1,4,0,0,0,0.7486264312618358
wtcheng,0,0,0,0,0,0.0
wu_tian_yu9,6,0,0,6,0,2.6708374334250333
wukesong,1,20,8,1,0,4.641374953041049
wupeiyuan1,0,0,0,0,0,0.0
wupx99,2,8,0,0,0,1.497252862523672
wuxuejian,0,0,0,0,0,0.0
wwx1050661,2,0,0,0,0,0.4357514044061696
wx_86adbe176d,3,24,0,0,0,3.8381314809617595
wxzhou0925,1,0,0,0,0,0.2178757022030848
wymj123,1,0,0,0,0,0.2178757022030848
wzharies,0,0,0,0,0,0.0
xiangjiawei007,7,18,5,8,1,6.925032769714046
xiaohaoliang,1,2,0,0,0,0.4832510667324603
xiaotan31,1,0,0,0,1,0.4472382307621679
xiaotiejiang20,0,2,0,0,0,0.26537536452937555
xiaoxinniuniu,1,0,0,0,0,0.2178757022030848
xiaoyisd,0,2,0,0,0,0.26537536452937555
xiaoyu_tong,2,18,0,0,0,2.8241296851705493
xiefangqi,11,34,3,8,12,12.05690587503386
xiong-changchun,0,0,0,0,0,0.0
xmushroom,1,2,0,0,0,0.4832510667324603
xsmq,0,0,1,0,0,0.1928102169387235
xu-yfei,1,0,0,1,0,0.44513957223750555
xu127457,0,0,0,0,0,0.0
xu_anyue,2,2,0,2,2,1.614379566122553
xuan-zhang0509,0,0,0,0,0,0.0
xue-yuhao,2,4,0,1,2,1.652491060617508
xuebao-zhang,9,14,3,6,5,6.907335385351507
xujinghan66,1,0,0,0,0,0.2178757022030848
xuuyangg,0,0,0,0,0,0.0
xuxing11,1,4,0,0,0,0.7486264312618358
xuyulina,0,0,0,0,0,0.0
xychow,0,0,1,0,0,0.1928102169387235
y-y-w,0,0,0,0,1,0.2293625285590831
yan-dasen,1,0,0,0,0,0.2178757022030848
yang-mengYM,1,0,0,0,0,0.2178757022030848
yang_kailu,1,0,0,0,1,0.4472382307621679
yanghaitao1,1,6,2,0,0,1.3996222296686587
yanglf1121,0,4,2,0,0,0.916371162936198
yangruoqi713,0,4,0,0,0,0.5307507290587511
yangzhenzhang,2,2,2,0,3,1.7748347884902416
yantaoGit,0,0,0,0,0,0.0
yanzhenxiang2020,0,20,0,0,0,2.6537536452937553
yao_yf,0,6,5,0,0,1.7601771782817446
yaolinxia,1,0,0,0,0,0.2178757022030848
yball,0,2,0,0,0,0.26537536452937555
ydgrasil,2,2,0,0,1,0.9304892974946282
ydwu4,1,0,0,0,0,0.2178757022030848
yelihua,0,2,1,0,0,0.45818558146809907
yepei6,0,0,2,0,0,0.385620433877447
yeyunpeng2020,2,20,4,0,1,4.0901084460139
yinhon,1,0,0,0,0,0.2178757022030848
yiqun-wu,0,6,0,0,4,1.7135762078244594
yongchao2,8,2,0,4,3,3.605524047968986
yoonlee666,1,2,2,1,1,1.3254978992034114
youtianming,0,0,0,0,0,0.0
youui,0,2,1,0,0,0.45818558146809907
yuan-zhongmi,0,0,0,0,0,0.0
yuchaojie,1,6,0,0,1,1.2433643243502945
yulanjie2021,1,0,0,0,0,0.2178757022030848
yuximiao,0,0,0,0,0,0.0
yuzhenhua666,0,14,7,0,0,3.2072990702766924
yvlee,1,0,0,0,0,0.2178757022030848
yx_miao,7,12,0,0,0,3.117382102597846
yypxpy,1,0,0,0,0,0.2178757022030848
yyuse,0,0,1,0,0,0.1928102169387235
yyxhgg,0,0,0,0,0,0.0
yzhouxdu,1,8,0,0,0,1.279377160320587
zabii,1,0,0,0,0,0.2178757022030848
zeng-pengyuan,1,0,0,0,0,0.2178757022030848
zengfy2020,1,2,0,1,1,0.9398774653259642
zengzitao,0,2,0,0,0,0.26537536452937555
zetongzhao,3,0,0,0,3,1.3417146922865038
zeyangao,0,14,8,0,0,3.400109287215416
zh_qh,1,28,16,0,2,7.476819333752093
zhan-yang6,1,2,0,1,1,0.9398774653259642
zhang_xue_tong,0,0,6,0,0,1.156861301632341
zhangbiao31,0,0,1,1,0,0.42007408697314425
zhangbuxue,1,2,0,0,0,0.4832510667324603
zhanggy9,1,0,0,0,0,0.2178757022030848
zhanghaibo5,0,8,9,0,0,2.7967934105660133
zhanghuiyao,0,22,11,1,0,5.267305266183512
zhanglei546,21,42,25,10,22,22.287142153493782
zhangpanting,0,0,0,0,0,0.0
zhangxiaoxiao16,0,20,11,0,0,4.774666031619714
zhangximing666,3,18,0,0,1,3.271367915932717
zhangyuqwer,0,0,0,0,0,0.0
zhangzhaoju,3,32,9,2,1,7.318815160155706
zhangzw12319,0,4,0,0,0,0.5307507290587511
zhangzzp_zzp,0,0,0,0,0,0.0
zhanyuan1,1,2,2,0,1,1.0982340291689905
zhao_ting_v,1,50,6,0,1,8.238483645628905
zhaochao27,1,0,0,0,0,0.2178757022030848
zhaodezan,2,0,0,0,2,0.8944764615243358
zhaojichen,1,2,2,0,0,0.8688715006099073
zhaosida_hw,1,18,2,0,1,3.221236945403994
zheng_pengfei,0,0,0,0,0,0.0
zhengjun10,2,4,2,0,1,1.581485095901451
zhengyuanhua,0,0,1,0,0,0.1928102169387235
zhi-qing-wei,0,0,0,0,0,0.0
zhidanliu,0,0,1,0,0,0.1928102169387235
zhixinaa,0,0,0,0,0,0.0
zhongjicheng,21,42,3,21,15,18.93968225130692
zhou-yunfeier,0,88,0,0,0,11.67651603929254
zhou_lili,0,8,3,0,1,1.8692946374927562
zhoufeng54,3,6,3,2,1,2.7120741196414753
zhouneng2,0,10,3,0,0,1.9053074734630486
zhouqian24,0,2,0,0,0,0.26537536452937555
zhouqingtao2006,1,0,1,1,0,0.637949789176229
zhoushan33,0,4,2,0,0,0.916371162936198
zhouyaqiang0,0,2,1,0,2,0.9169106385862652
zhubaiwan,2,0,0,0,0,0.4357514044061696
zhuikefeng,0,4,0,0,0,0.5307507290587511
zhunaipan,0,118,12,17,1,22.063717429642114
zhupuxu,0,0,0,0,0,0.0
zichun_ye,0,4,4,0,0,1.3019915968136453
zikun97,2,0,0,0,0,0.4357514044061696
ziruiwu,0,4,0,0,0,0.5307507290587511
zjun3021,0,16,4,0,0,2.8942437839898982
zlq2020,0,0,1,0,0,0.1928102169387235
zomi_chan,0,0,0,0,0,0.0
zong-shuai,0,0,0,0,1,0.2293625285590831
zou-appei,1,0,0,0,0,0.2178757022030848
zou-tianyu,0,24,0,0,0,3.184504374352506
zpac,0,18,5,1,0,3.579693235492417
zsj_mind,0,2,0,0,2,0.7241004216475417
zsk423200,1,0,0,0,0,0.2178757022030848
zuochuanyong,0,6,1,0,0,0.98893631052685
zxyhku,2,4,0,0,0,0.9665021334649206
zyhstack,0,4,1,0,0,0.7235609459974746
zyli2020,0,10,2,0,0,1.712497256524325
