user_login,event_create,event_comment,event_assign_collaborator,event_setting_assignee,event_closed_issue
tina_mengting_zhang,0,0,0,0,0
tomzwang11,0,0,0,0,1
tophand,0,0,0,0,0
tronzhang,2,12,0,2,1
ttudu,1,2,1,0,0
uccInf,0,0,0,0,0
uestc_dengjian_0,5,0,0,0,0
uiemUI,1,0,0,0,0
vddong,0,0,0,0,0
wajiang,0,2,0,0,0
wang-weihangwk,2,8,0,0,0
wang-xinuo886131,0,0,0,0,2
wang-yujie2,0,0,0,0,0
wang_hua_2019,0,2,1,1,0
wang_shaocong,4,20,16,1,4
wangbixing123,0,0,2,0,0
wangjunbao,0,4,1,0,0
wangnan39,8,50,16,9,2
wangshuide2020,0,16,12,0,0
wangshushu0213,0,0,0,0,0
wangsong95,0,0,56,0,1
wangyanling10,1,8,9,1,0
wangyue01,0,0,1,0,0
wangzheng1215,1,0,0,0,0
wanyiming,0,2,1,0,0
weisun092,1,0,0,0,1
weixiewen,1,0,0,0,0
wenkai_dist,0,10,2,0,0
whitewings,0,0,0,0,0
whuhuangj,0,2,0,0,0
whutwangchao,0,0,0,0,0
wild-fox,0,26,0,0,0
wilfchen,1,6,6,0,1
windaway,2,4,0,0,0
windhxs,0,0,0,0,0
winnuix,2,8,0,0,0
wmzheng2020,27,184,20,16,21
woshixiaoli,2,0,0,2,0
wow_ha_ha_ha,3,10,1,3,3
wr1024,0,0,0,0,0
wsyadc,1,4,0,0,0
wtcheng,0,0,0,0,0
wu_tian_yu9,6,0,0,6,0
wukesong,1,20,8,1,0
wupeiyuan1,0,0,0,0,0
wupx99,2,8,0,0,0
wuxuejian,0,0,0,0,0
wwx1050661,2,0,0,0,0
wx_86adbe176d,3,24,0,0,0
wxzhou0925,1,0,0,0,0
wymj123,1,0,0,0,0
wzharies,0,0,0,0,0
xiangjiawei007,7,18,5,8,1
xiaohaoliang,1,2,0,0,0
xiaotan31,1,0,0,0,1
xiaotiejiang20,0,2,0,0,0
xiaoxinniuniu,1,0,0,0,0
xiaoyisd,0,2,0,0,0
xiaoyu_tong,2,18,0,0,0
xiefangqi,11,34,3,8,12
xiong-changchun,0,0,0,0,0
xmushroom,1,2,0,0,0
xsmq,0,0,1,0,0
xu-yfei,1,0,0,1,0
xu127457,0,0,0,0,0
xu_anyue,2,2,0,2,2
xuan-zhang0509,0,0,0,0,0
xue-yuhao,2,4,0,1,2
xuebao-zhang,9,14,3,6,5
xujinghan66,1,0,0,0,0
xuuyangg,0,0,0,0,0
xuxing11,1,4,0,0,0
xuyulina,0,0,0,0,0
xychow,0,0,1,0,0
y-y-w,0,0,0,0,1
yan-dasen,1,0,0,0,0
yang-mengYM,1,0,0,0,0
yang_kailu,1,0,0,0,1
yanghaitao1,1,6,2,0,0
yanglf1121,0,4,2,0,0
yangruoqi713,0,4,0,0,0
yangzhenzhang,2,2,2,0,3
yantaoGit,0,0,0,0,0
yanzhenxiang2020,0,20,0,0,0
yao_yf,0,6,5,0,0
yaolinxia,1,0,0,0,0
yball,0,2,0,0,0
ydgrasil,2,2,0,0,1
ydwu4,1,0,0,0,0
yelihua,0,2,1,0,0
yepei6,0,0,2,0,0
yeyunpeng2020,2,20,4,0,1
yinhon,1,0,0,0,0
